account,prodotto,provider,data,issue_totali,issue_high,issue_medium,issue_low,issue_dismissed,change_last_12_month,change_last_month,runid,__PowerAppsId__
cnf-portal,cnf-portal,AWS,02/10/2025,127,56,71,0,0,100,100,,64f7930018264dbd97a790ca8b25e280
pn-core-test,,AWS,02/10/2025,292,46,245,1,0,100,100,,510bb083922c40adb88634cee65a7de4
devportal-uat,,AWS,02/10/2025,63,22,41,0,0,100,100,,1059e6b26b2c43dba51355869456f705
interop-extra-qa,,AWS,02/10/2025,55,21,33,1,0,100,100,,4d0bfd7487ca40208efc41082a7204ab
pdnd-interop-prod,Interop,AWS,02/10/2025,278,27,250,1,0,100,100,,6741b61f6f79409c898e8e844cd5064c
pdnd-interop-dev,,AWS,02/10/2025,243,41,201,1,0,100,100,,b6686c1d44f0453196ada373abb96bbb
pdnd-interop-qa,,AWS,02/10/2025,117,22,94,1,0,100,100,,3095d38c35e94d73bc7f0c69d60fed7b
b2b-portals-prod,Portals & Tools,AWS,02/10/2025,77,26,51,0,0,100,100,,40188a37bdb34293a380815562f849a0
interop-signalhub-prod,Interop,AWS,02/10/2025,60,23,36,1,0,100,100,,53a9d43f18144e07934b8b6562b6cf3d
pn-core-uat,,AWS,02/10/2025,266,45,220,1,0,100,100,,b38ecb5755ee4faf95023f954433afdc
pdnd-interop-attestazione,,AWS,02/10/2025,132,26,105,1,0,100,100,,68f722e383cc40829171e66ec864f494
pn-confinfo-dev,,AWS,02/10/2025,207,44,150,13,0,100,100,,83feeda71ead47e8924462159f49ae36
interop-probing-uat,,AWS,02/10/2025,24,20,4,0,0,100,100,,e219d6ad97a841f9bc02e6522e855a39
ppa-oneidentity-dev,,AWS,02/10/2025,70,26,44,0,0,100,100,,90c6f1aaa5414e539e39f1b405e9628c
pn-core-hotfix,,AWS,02/10/2025,287,49,237,1,0,100,100,,4ed9ffa2ca804f4fac6ccf82af735c8d
pn-confinfo-hotfix,,AWS,02/10/2025,181,42,127,12,0,100,100,,435740463ee04d76b307dc54ea111ae8
